Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Sonora,Ures,Fuentes naturales,,,54.483,319.733,,,
Sonora,Villa Hidalgo,Fuentes de área,0.407,50.813,1.895,23.165,9.851,5.467,24.186
Sonora,Villa Hidalgo,Fuentes móviles carreteros,0.449,55.929,15.933,4.802,1.735,1.593,0.077
Sonora,Villa Hidalgo,Fuentes móviles que no circulan por carretera,0.998,13.916,28.43,2.857,2.37,2.299,0.009
Sonora,Villa Hidalgo,Fuentes naturales,,,32.876,158.889,,,
Sonora,Villa Pesqueira,Fuentes de área,0.188,33.512,1.587,20.344,17.14,6.508,29.629
Sonora,Villa Pesqueira,Fuentes móviles carreteros,0.478,63.523,16.819,5.505,1.747,1.604,0.09
Sonora,Villa Pesqueira,Fuentes móviles que no circulan por carretera,1.02,14.122,29.071,2.906,2.409,2.337,0.009
Sonora,Villa Pesqueira,Fuentes naturales,,,42.883,1287.433,,,
Sonora,Yécora,Fuentes de área,23.142,2650.206,79.682,277.113,284.444,229.526,87.438
Sonora,Yécora,Fuentes móviles carreteros,0.641,93.309,23.184,7.659,2.02,1.853,0.123
Sonora,Yécora,Fuentes móviles que no circulan por carretera,1.01,14.026,28.773,2.883,2.391,2.319,0.009
Sonora,Yécora,Fuentes naturales,,,65.685,1583.308,,,
Sonora,General Plutarco Elías Calles,Fuentes de área,0.177,28.193,3.86,207.506,37.905,11.088,51.436
Sonora,General Plutarco Elías Calles,Fuentes móviles carreteros,4.065,462.877,148.767,41.689,15.597,14.325,0.663
Sonora,General Plutarco Elías Calles,Fuentes móviles que no circulan por carretera,1.143,15.256,32.593,3.177,2.625,2.546,0.01
Sonora,General Plutarco Elías Calles,Fuentes naturales,,,43.161,114.471,,,
Sonora,Benito Juárez,Fuentes de área,3.069,503.18,23.715,295.352,437.645,133.867,398.564
Sonora,Benito Juárez,Fuentes móviles carreteros,3.757,426.419,133.907,37.925,14.915,13.7,0.618
Sonora,Benito Juárez,Fuentes móviles que no circulan por carretera,2.378,26.619,67.894,5.897,4.783,4.639,0.021
Sonora,Benito Juárez,Fuentes naturales,,,863.722,4033.858,,,
Sonora,San Ignacio Río Muerto,Fuentes de área,3.327,611.371,26.944,203.817,461.871,153.896,349.343
Sonora,San Ignacio Río Muerto,Fuentes móviles carreteros,3.139,291.608,107.405,25.618,14.787,13.589,0.447
Sonora,San Ignacio Río Muerto,Fuentes móviles que no circulan por carretera,2.489,27.643,71.075,6.142,4.977,4.828,0.022
Sonora,San Ignacio Río Muerto,Fuentes naturales,,,459.687,2206.34,,,
