Modelo,Accuracy,F1-Score,AUC-ROC
XGBoost,0.8595238095238096,0.827485380116959,0.9340474332877733
Random Forest,0.8654761904761905,0.8269525267993875,0.9345519179215234
Reg. Logística,0.830952380952381,0.7760252365930599,0.8924978442081057
LSTM,0.8036144578313253,0.7287853577371048,0.841641363022942
